  R-R p4_e3:p4_e3-eth7  Δtx=10318 B  Δrx=232 B
  R-R p4_a7:p4_a7-eth3  Δtx=232 B  Δrx=10318 B
  R-R p5_e0:p5_e0-eth4  Δtx=13048 B  Δrx=3105143 B
  R-R p5_a4:p5_a4-eth0  Δtx=3105143 B  Δrx=13048 B
  R-R p5_e0:p5_e0-eth5  Δtx=22162 B  Δrx=298 B
  R-R p5_a5:p5_a5-eth0  Δtx=298 B  Δrx=22162 B
  R-R p5_e0:p5_e0-eth6  Δtx=2072788 B  Δrx=1042393 B
  R-R p5_a6:p5_a6-eth0  Δtx=1042393 B  Δrx=2072788 B
  R-R p5_e0:p5_e0-eth7  Δtx=2059904 B  Δrx=21474 B
  R-R p5_a7:p5_a7-eth0  Δtx=21474 B  Δrx=2059904 B
  R-R p5_e1:p5_e1-eth4  Δtx=10442 B  Δrx=2071368 B
  R-R p5_a4:p5_a4-eth1  Δtx=2071368 B  Δrx=10442 B
  R-R p5_e1:p5_e1-eth5  Δtx=4118058 B  Δrx=1052267 B
  R-R p5_a5:p5_a5-eth1  Δtx=1052267 B  Δrx=4118058 B
  R-R p5_e1:p5_e1-eth6  Δtx=35698 B  Δrx=11758 B
  R-R p5_a6:p5_a6-eth1  Δtx=11758 B  Δrx=35698 B
  R-R p5_e1:p5_e1-eth7  Δtx=158 B  Δrx=1029355 B
  R-R p5_a7:p5_a7-eth1  Δtx=1029355 B  Δrx=158 B
  R-R p5_e2:p5_e2-eth4  Δtx=1050773 B  Δrx=4128588 B
  R-R p5_a4:p5_a4-eth2  Δtx=4128588 B  Δrx=1050773 B
  R-R p5_e2:p5_e2-eth5  Δtx=2071966 B  Δrx=212 B
  R-R p5_a5:p5_a5-eth2  Δtx=212 B  Δrx=2071966 B
  R-R p5_e2:p5_e2-eth6  Δtx=1039813 B  Δrx=170 B
  R-R p5_a6:p5_a6-eth2  Δtx=170 B  Δrx=1039813 B
  R-R p5_e2:p5_e2-eth7  Δtx=138 B  Δrx=31230 B
  R-R p5_a7:p5_a7-eth2  Δtx=31230 B  Δrx=138 B
  R-R p5_e3:p5_e3-eth4  Δtx=1041249 B  Δrx=1053311 B
  R-R p5_a4:p5_a4-eth3  Δtx=1053311 B  Δrx=1041249 B
